,client_identifier,email,bitcoin_address,credit_card_type
0,18,rdrinanh@odnoklassniki.ru,1ErM8yuF3ytzzxLy1uPvQuRveLBygxN15x,china-unionpay
1,32,wbamfordv@t-online.de,12sxmYnPcADAXw1YkxdapRsft2PwHZke7A,maestro
2,33,swestallw@blinklist.com,1GZ7QB7GUFSWnkBHmsj4C4EZYMWni6BVn4,mastercard
3,34,erosengrenx@usatoday.com,12o8zrHx6snCPbtkoD9im4ozBtNkHRjeRV,visa-electron
4,36,dbuckthorpz@tmall.com,15X53Z9B9jUNrvFpbr7D554uSc5RL7Pnkg,diners-club-international
5,62,bbarham1p@wisc.edu,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb
6,67,lbeavors1u@technorati.com,12ya1ED93ApPBQRSCuqiehip8KfPEzXYaj,bankcard
7,70,fdresse1x@bloglines.com,1F8zXTEaf4AFpztMNzQZfo5NUreptaArTD,mastercard
8,91,aeplate2i@webeden.co.uk,19MZSy1H8S4SaXsmSc3n7AaL2GxQkQkEZx,diners-club-carte-blanche
9,105,linfante2w@telegraph.co.uk,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb
10,108,rpartkya2z@cdc.gov,1RcsodKknm8thkCL6F4Vcmo7f4A7r6ydj,maestro
11,109,mdory30@uiuc.edu,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb
12,110,rswindle31@tmall.com,15cRJ4mzZd4Vgd33xbVjEtYw9c6f1WfGkC,china-unionpay
13,124,wdarco3f@geocities.com,1CB7AdhTFBXmxuABm58yKmCmsvVqDjT9P1,maestro
14,128,vnapthine3j@ning.com,16DbYq1KR8DVSQu5E9WU9ohuofBm5AHB2Q,diners-club-enroute
15,165,hheinecke4k@altervista.org,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb
16,177,awissbey4w@geocities.jp,1AJzqEgbbFh2TNLFZrWp1XgCY16gQQ3pBe,americanexpress
17,189,etsar58@ovh.net,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb
18,194,igreated5d@live.com,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb
19,197,pvolette5g@ask.com,1Q6UV84patYXfzEdAabyanzRe4cpNHdfkC,diners-club-enroute
20,199,esurcombe5i@bigcartel.com,1GYuD7hkkRkCeVcx9tMXzQ1LwfAUcHUQfN,jcb
21,239,hgolley6m@nydailynews.com,19KrAve717pGFqYLiQvw63yV3Ar6XabJhD,mastercard
22,248,mbrewer6v@facebook.com,16WS73NGVmHfpuWqPkEjN9pirzG9qkgvPJ,americanexpress
23,255,jknowler72@nba.com,1JtjCw3Nj42ZPgeFkgFJAPcVCyvt4sMLPh,jcb
24,293,lropartz84@meetup.com,1PJgSoTde2rSpfYRYpied1y35KVke7kvXo,jcb
25,294,lmacaskie85@sina.com.cn,1DNGHS7oy3K38AnzdAUt8sDw2Dc4WWCj3e,maestro
26,296,hmcpake87@bravesites.com,1A3rYCZeBfy1V1W3ypcfVdZm6TCU3TFkLv,jcb
27,299,cantunez8a@booking.com,1C74dmFYGZiSzsZH6Lw41bWCu8U3mTvcth,diners-club-carte-blanche
